Developmental_Phase,Date,Year,Month,DOY,DAS,Crop,AGB_g_m2_avg,AGB_se,LAI_avg,GY_avg,Tair_C,VPD_hPa,ET_mm_d,PCPN_mm_cor,R_in_MJ_m2_d,rH_avg,NEE_qa_g_C_m2_d,ER_qa_g_C_m2_d,GEP_qa_g_C_m2_d,VSWC_005cm_avg,VSWC_010cm_avg,VSWC_020cm_avg,VSWC_050cm_avg
NA,2015-10-01,2015,10,274,NA,NA,NA,NA,NA,NA,14.790860416666666,7.171731875,1.9690567416763385,20.3,10.7946,61.05677083333333,3.709462608,3.4496883719999993,-0.2597742360000006,23.317474748870584,17.741104088576318,16.70853125,20.951691904399446
NA,2015-10-02,2015,10,275,NA,NA,NA,NA,NA,NA,10.442777083333333,4.341244166666667,1.7223561248079893,2.4,2.6406,67.15222916666667,4.30351272,3.348952019999999,-0.9545607000000004,24.567745730002084,18.85749739960118,16.884166666666665,21.10200050402708
NA,2015-10-03,2015,10,276,NA,NA,NA,NA,NA,NA,8.541508333333333,2.3573483333333334,1.5111447732790793,2.5,2.223,79.26754166666667,3.169521576,3.1436256600000005,-0.02589591599999963,25.034595946644167,18.946152336395,16.503229166666667,20.74327275536118
NA,2015-10-04,2015,10,277,NA,NA,NA,NA,NA,NA,9.820320833333334,1.268726875,0.6252575202289525,1.8,1.8648,89.5660625,2.94569352,3.1723796880000004,0.22668616800000052,25.823634157329273,19.37006167229576,16.328541666666666,20.43115120035396
NA,2015-10-05,2015,10,278,NA,NA,NA,NA,NA,NA,9.27285625,2.046356041666667,0.6550559850802588,0,6.111,83.3539375,2.7153528479999993,3.069270576,0.35391772800000076,25.912388281975524,19.72764305017361,16.298229166666665,20.276629958829513
NA,2015-10-06,2015,10,279,NA,NA,NA,NA,NA,NA,9.144491666666667,2.757633421786875,0.6244955787456322,0,14.9256,82.52429166666667,0.8348341680000001,2.872525896,2.037691728,24.788782207484324,19.687457191111186,16.22375,20.162807505518888
NA,2015-10-07,2015,10,280,NA,NA,NA,NA,NA,NA,11.9696875,4.047588125,0.6796915863670356,0.1,6.5016,76.25877083333333,2.030415984,2.751627132,0.7212111480000001,24.498914664910835,19.54724507504611,16.133958333333332,20.04839219179021
NA,2015-10-08,2015,10,281,NA,NA,NA,NA,NA,NA,11.966658333333331,4.495334166666667,0.6689879530101619,0,12.8952,71.50879166666667,1.2737798639999998,2.7512676,1.477487736,25.035757777750575,19.602957862570488,16.140416666666667,19.972976598830485
NA,2015-10-09,2015,10,282,NA,NA,NA,NA,NA,NA,11.405429166666666,5.5309016458333335,0.6607384469721628,0,8.6364,71.19254166666667,1.632424752,2.245425084,0.6130003319999999,23.74921856432276,19.227872025620485,15.965625,19.909789998611668
NA,2015-10-10,2015,10,283,NA,NA,NA,NA,NA,NA,19.220395833333335,14.930064583333332,0.7931331421976975,0,13.7646,50.37479166666667,2.6377511759999996,2.397762648,-0.2399885279999996,24.238696607159532,19.34153507223722,16.024479166666666,19.83096192751979
NA,2015-10-11,2015,10,284,NA,NA,NA,NA,NA,NA,17.4464375,12.62850625,0.8315640945326467,0,10.4328,42.579708333333336,2.058765984,2.2165336799999995,0.15776769599999962,23.980037893994272,19.224701330710623,16.06072916666667,19.887416273539166
NA,2015-10-12,2015,10,285,NA,NA,NA,NA,NA,NA,10.321935416666667,5.452972916666667,0.4541521491638233,0.1,13.887,59.19283333333333,0.6711780959999999,1.92153978,1.250361684,23.523710924148748,19.008467565864304,15.898333333333332,19.914419373389375
NA,2015-10-13,2015,10,286,NA,NA,NA,NA,NA,NA,10.39989375,6.883760416666667,0.4124876901114582,0,14.22,54.545,0.994195296,1.678605444,0.684410148,22.608716040039532,18.76926514090625,15.694791666666667,19.818852323992292
NA,2015-10-14,2015,10,287,NA,NA,NA,NA,NA,NA,10.467339583333333,8.132447916666667,0.4082015745064298,0,13.8204,48.0975,1.3495239359999998,1.5571601999999998,0.207636264,21.860683953119583,18.66038711237146,15.5578125,19.69835484757396
NA,2015-10-15,2015,10,288,NA,NA,NA,NA,NA,NA,6.951957416666667,5.095289583333334,0.3189668215937798,0,13.626,55.42829166666667,0.585113976,1.5044655959999995,0.9193516199999996,21.411868312298957,18.49794211100632,15.407395833333334,19.58144181220153
NA,2015-10-16,2015,10,289,NA,NA,NA,NA,NA,NA,4.402517958333333,3.8969970833333334,0.31626374912111416,0,11.0358,64.63452083333333,0.9124671599999998,1.4227799039999998,0.5103127439999999,20.55702030974729,18.149288207594303,15.234895833333333,19.42508878610111
